soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
BlaaqGold,MINE (BlaaqGoldRMX),ultimate,6136,2020-08-16 18:30:46.930000+00:00,blaaqgold,188,"3,886",992,3.88%,136.85,14.05
Black Box Recorder,Child Psychology,indie,1055,2020-08-11 14:12:38.113000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Black Catalogue 2020,B1 Thomas Melchior - What The?,ultimate,1368,2020-08-13 16:53:57.486000+00:00,monty_luke,"1,459","3,310","1,775",4.12%,127.35,9.05
Black Foxxes,Badlands,ultimate,19,2020-08-13 15:06:08.916000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Black Futures,Trance,ultimate,326,2020-08-13 03:26:23.427000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Black Grape,Kelly's Heroes,indie,611,2020-08-11 14:14:28.127000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Black Honey,All My Pride,indie,309,2020-08-11 02:54:07.450000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blackaby,Semolina,indie,4,2020-08-11 18:38:50.317000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blackorchidempire,Singularity,ultimate,0,2020-08-13 03:28:11.109000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bleachers,Don't Take The Money,indie,97200.0,2020-08-11 02:54:19.977000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bleed From Within,Fracture,ultimate,0,2020-08-13 03:25:30.495000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blind Melon,No Rain,indie,90100.0,2020-08-11 14:13:43.633000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blinkie,What You Want,ultimate,810,2020-08-13 03:30:52.939000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blonde,I Loved You (feat. Melissa Steel),ultimate,14000000.0,2020-08-13 16:38:54.747000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Blossoms,Charlemagne,indie,16700.0,2020-08-11 14:09:30.139000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BluFin Records,Robert Babicz - Alta Moda -snippet,ultimate,5852,2020-08-13 16:54:53.931000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
