soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Breach,Jack,ultimate,0,2020-08-13 03:42:06.090000+00:00,benwestbeech,"2,340","15,029","4,341",2.05%,275.20,33,308
BreeRunway,Gucci,ultimate,1931,2020-08-13 00:56:10.908000+00:00,breerunway,539,"67,930",640,11.98%,"7,936.20",200.3,8138
BrennanHeart,Brennan Heart presents WE R Hardstyle July 2020,ultimate,9253,2020-08-13 23:59:35.914000+00:00,djbrennanheart,"1,861","243,649",695,2.14%,"5,112.10",100.5,5214
Brent Faiyaz,Fuck The World (Summer In London),ultimate,3170000,2020-08-13 00:54:47.610000+00:00,brentfaiyaz,,,,,,,
Bring Me The Horizon,Parasite Eve,ultimate,25500,2020-08-13 15:04:28.040000+00:00,bringmethehorizon,,,,,,,
Browny Pondis,Again,rap,308,2020-08-11 23:25:45.669000+00:00,brownypondis,,,,,,,
Bruits en orbite,Capsule No.16,ultimate,90,2020-08-14 03:04:36.196000+00:00,,,,,,,,
Bruno Torres Remixes 10,Ozuna & Wisin - Gistro Amarillo (Bruno Torres Remix),ultimate,5502,2020-08-16 19:13:06.299000+00:00,brunotorrestv,,,,,,,
Bryde,Silence,indie,579,2020-08-11 20:13:41.542000+00:00,brydeofficial,,,,,,,
Burna Boy,Wonderful,rap,141000,2020-08-11 23:18:17.122000+00:00,burnaboygram,,,,,,,
Bury Tomorrow,Imposter,ultimate,80,2020-08-13 03:22:38.784000+00:00,burytomorrow,,,,,,,
CAMELPHAT,Hypercolour,ultimate,57900,2020-08-13 03:33:59.637000+00:00,camelphatmusic,"2,190","249,178","2,779",1.70%,"4,029.70",201.4,4236
CHASE B,Chase B x Don Toliver feat. Gunna - Cafeteria,rap,3850000,2020-08-12 20:37:25.365000+00:00,ogchaseb,,,,,,,
CHROMA,Head in Transit,ultimate,39,2020-08-13 03:21:34.701000+00:00,chromabanduk,,,,,,,
CHVRCHES,Deliverance,indie,24000,2020-08-11 15:25:57.485000+00:00,chvrches,,,,,,,
COLETON RUBIN,haircuT,indie,597,2020-08-11 00:51:25.803000+00:00,cltnrubn,8,573,476,13.67%,113.63,21.5,78
CRCL,TOXIC,ultimate,1660,2020-08-16 19:02:46.577000+00:00,crclxx,191,"1,550",680,7.78%,103.80,16.75,121
